2015-02-18 12:51:12 status unpacked libgdbm3:armhf 1.8.3-13
2015-02-18 12:51:13 install libgpg-error0:armhf <none> 1.13-4
2015-02-18 12:51:13 status half-installed libgpg-error0:armhf 1.13-4
2015-02-18 12:51:14 status unpacked libgpg-error0:armhf 1.13-4
2015-02-18 12:51:14 status unpacked libgpg-error0:armhf 1.13-4
2015-02-18 12:51:15 install libjson-c2:armhf <none> 0.11-4ubuntu1
2015-02-18 12:51:15 status half-installed libjson-c2:armhf 0.11-4ubuntu1
2015-02-18 12:51:16 status unpacked libjson-c2:armhf 0.11-4ubuntu1
2015-02-18 12:51:16 status unpacked libjson-c2:armhf 0.11-4ubuntu1
2015-02-18 12:51:17 install libjson0:armhf <none> 0.11-4ubuntu1
2015-02-18 12:51:17 status half-installed libjson0:armhf 0.11-4ubuntu1
2015-02-18 12:51:18 status unpacked libjson0:armhf 0.11-4ubuntu1
2015-02-18 12:51:18 status unpacked libjson0:armhf 0.11-4ubuntu1
2015-02-18 12:51:19 install libklibc:armhf <none> 2.0.3-0ubuntu1
2015-02-18 12:51:19 status half-installed libklibc:armhf 2.0.3-0ubuntu1
2015-02-18 12:51:20 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2015-02-18 12:51:20 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2015-02-18 12:51:22 install libkmod2:armhf <none> 18-1ubuntu2
2015-02-18 12:51:22 status half-installed libkmod2:armhf 18-1ubuntu2
2015-02-18 12:51:23 status unpacked libkmod2:armhf 18-1ubuntu2
2015-02-18 12:51:23 status unpacked libkmod2:armhf 18-1ubuntu2
2015-02-18 12:51:24 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2015-02-18 12:51:24 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2015-02-18 12:51:26 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2015-02-18 12:51:26 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2015-02-18 12:51:27 install libmount1:armhf <none> 2.25.1-3ubuntu4
2015-02-18 12:51:27 status half-installed libmount1:armhf 2.25.1-3ubuntu4
2015-02-18 12:51:28 status unpacked libmount1:armhf 2.25.1-3ubuntu4
2015-02-18 12:51:29 status unpacked libmount1:armhf 2.25.1-3ubuntu4
2015-02-18 12:51:30 install libncurses5:armhf <none> 5.9+20140712-2ubuntu1
2015-02-18 12:51:30 status half-installed libncurses5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:31 status unpacked libncurses5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:31 status unpacked libncurses5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:33 install libncursesw5:armhf <none> 5.9+20140712-2ubuntu1
2015-02-18 12:51:33 status half-installed libncursesw5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:34 status unpacked libncursesw5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:34 status unpacked libncursesw5:armhf 5.9+20140712-2ubuntu1
2015-02-18 12:51:36 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu26
2015-02-18 12:51:36 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:36 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:37 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:38 install libnih1:armhf <none> 1.0.3-4ubuntu26
2015-02-18 12:51:38 status half-installed libnih1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:39 status unpacked libnih1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:39 status unpacked libnih1:armhf 1.0.3-4ubuntu26
2015-02-18 12:51:41 install libpam-modules:armhf <none> 1.1.8-3ubuntu4
